"Variable name","English","Translation","Module name","Package"
"OpenIDE-Module-Name","ColorChooser",,"PaintApp/ColorChooser","org/netbeans/swing/colorchooser"
"CTL_NewCanvasAction","New Canvas",,"PaintApp/Paint","org/netbeans/paint"
"LBL_BrushSize"," Brush Size",,"PaintApp/Paint","org/netbeans/paint"
"LBL_Clear","Clear","クリア","PaintApp/Paint","org/netbeans/paint"
"LBL_Foreground"," Foreground","前景","PaintApp/Paint","org/netbeans/paint"
"MSG_Overwrite"," {0} exists.  Overwrite?",,"PaintApp/Paint","org/netbeans/paint"
"MSG_SaveFailed"," Could not write to file {0}",,"PaintApp/Paint","org/netbeans/paint"
"MSG_Saved"," Saved image to {0}",,"PaintApp/Paint","org/netbeans/paint"
"OpenIDE-Module-Name","Paint",,"PaintApp/Paint","org/netbeans/paint"
"TTL_SAVE_DIALOG","Save",,"PaintApp/Paint","org/netbeans/paint"
"UnsavedImageNameFormat","Image {0}","画像{0}","PaintApp/Paint","org/netbeans/paint"
"KEY_NotUsed","This string is not used in Java sources",,"playground/module1","org/i18nchecker/test1"
"Key_correct","This string is in resource bundle","この文字列は、リソースにバンドルされ","playground/module1","org/i18nchecker/test1"
"NAME_key","Another string in resource bundle",,"playground/module1","org/i18nchecker/test1"
